PID,exp,load,age,CF,PW,BW,offset,exponent
1104.0,wmc,1b,0.0,9.111438996742583,0.7911500520417792,3.1257078987336473,1.88437754086243,1.9922976813350814
1104.0,wmc,2b,0.0,8.99959963533513,0.8625752738877143,3.4577415404144767,1.892280342820306,1.9975474055306446
1104.0,wmv,1b,0.0,9.15295735659719,0.7793869229902813,3.1289407197556725,1.832608177304831,1.890810250630568
1104.0,wmv,2b,0.0,8.956187037779513,0.795952484408462,3.4521382858573304,1.9145242026071898,1.9253101519663287
1108.0,wmc,1b,0.0,9.82459788721115,0.7577571674166799,3.3560744601037165,1.39169439219904,1.5936375321442633
1108.0,wmc,2b,0.0,9.97687489253896,0.6570012780734289,3.000000040261133,1.497828599878498,1.607481394113016
1108.0,wmv,1b,0.0,9.94949589331382,0.6927747679754687,3.214893234036945,1.295851559104417,1.5554524659418616
1108.0,wmv,2b,0.0,9.505782388774902,0.7373818972215224,3.216818153999881,1.414168803046475,1.5906043504582053
1605.0,wmc,1b,0.0,10.432837565876845,0.9239222681479805,4.523828696043858,1.7337010899544198,1.6503199569553904
1605.0,wmc,2b,0.0,11.137284411069208,0.8792574006782329,4.597857554458407,1.534932917055709,1.496475110701799
1605.0,wmv,1b,0.0,10.631170446131039,0.9313009475845494,5.1168677213031835,1.600791391459123,1.5944876103643615
1605.0,wmv,2b,0.0,10.64824540229125,0.8593145856164166,4.626529190345464,1.5774865490286938,1.5550343777510325
1606.0,wmc,1b,0.0,9.243193852330338,1.2942683167312958,4.492458541017499,1.7831594248715081,1.793282156930679
1606.0,wmc,2b,0.0,9.518963112813099,1.271433601345721,4.410440764141093,1.8064193922433074,1.6902950889183517
1606.0,wmv,1b,0.0,9.69406214435023,1.1906724089971237,4.2823019283963175,1.7083603685102922,1.6427657521462251
1606.0,wmv,2b,0.0,9.745809355303022,1.089921628069326,4.737176054825075,1.7772617079194728,1.7232168607754526
1607.0,wmc,1b,0.0,9.910306970598127,1.0228354292566888,3.0000000090436623,1.6349866509176876,1.6274829448326218
1607.0,wmc,2b,0.0,9.925508125531936,1.0589985023933692,3.000000000001034,1.4379585111386557,1.5644875795032291
1607.0,wmv,1b,0.0,9.957160371026957,0.9108207358015482,3.020921341252959,1.7040677671132152,1.740060623728698
1607.0,wmv,2b,0.0,9.759823442464231,0.9397909740984293,3.00000000002871,1.619357764547579,1.6384250242568938
1608.0,wmc,1b,0.0,9.624806802001713,0.874559179603164,3.049058502694033,1.648258660125116,1.8259069833041908
1608.0,wmc,2b,0.0,9.59790186387814,1.0280115255947606,3.0620052599856944,1.6179825148845077,1.7221853761336883
1608.0,wmv,1b,0.0,9.419834160718095,0.9319442248930848,3.0591133977588343,1.6923330819255353,1.7874709588535491
1608.0,wmv,2b,0.0,9.364059387728132,0.8386338984888303,3.0000000005942553,1.601549881159085,1.6663191762725809
1609.0,wmc,1b,0.0,10.167195447326584,0.8931924854787132,5.229020934213625,1.5225478741566274,1.8832501639786352
1609.0,wmc,2b,0.0,10.801851518146364,0.7208359982932016,5.129145435632469,1.5414377979660951,1.9036246413840132
1609.0,wmv,1b,0.0,10.10227644316562,0.8735632326807927,5.054841428551927,1.544866018822934,1.9421190754872522
1609.0,wmv,2b,0.0,9.230867998593512,0.9932445594438982,3.26251007786238,1.6103084275578536,1.9735863481100855
1612.0,wmc,1b,0.0,9.550027627265669,0.689376571229921,4.2170219017928945,1.6179277477205936,1.733646995772732
1612.0,wmc,2b,0.0,9.092246057084589,0.8986329097502012,3.2426365657206238,1.5074143985763673,1.6440589498554388
1612.0,wmv,1b,0.0,9.276954382330484,0.9738429110334877,3.391870842532905,1.8532347500494666,1.963608725206922
1612.0,wmv,2b,0.0,9.41571684357635,0.6856778031806554,3.0000000243152924,1.547799735658078,1.7080795475850319
1615.0,wmc,1b,0.0,9.976918795339161,0.6399305762658131,3.086872356537635,1.5205331700041176,1.539615532045454
1615.0,wmc,2b,0.0,10.183908327186144,0.6511950591893129,3.0000000066448536,1.2925466868642788,1.3934818710815138
1615.0,wmv,1b,0.0,9.965121195896316,0.6654098512587655,3.040077426977218,1.3942450506291548,1.549084041469696
1615.0,wmv,2b,0.0,9.91206547806729,0.7721434791695931,3.0618680618250003,1.3304152979633044,1.550817624086455
1619.0,wmc,1b,0.0,8.61352911233641,0.9474963037176027,3.109160394395196,1.713461329856995,1.8302249007327334
1619.0,wmc,2b,0.0,9.038080282584213,0.9630953117860938,3.000014009902078,1.4441737176232818,1.649496555922461
1619.0,wmv,1b,0.0,8.722267641244159,1.0301684550818335,3.2505458379083083,1.8843373102028196,1.998101945664504
1619.0,wmv,2b,0.0,8.709275673208664,0.9929386745168257,3.486928672510798,1.7452266558317149,1.877942503791229
1621.0,wmc,1b,0.0,9.536103055917813,1.1204601781522003,3.7144235842633395,1.8993021696288361,1.6789481044469607
1621.0,wmc,2b,0.0,9.462061858557892,1.1180562355964645,3.776087326440441,1.9998422324215859,1.7763187600846362
1621.0,wmv,1b,0.0,9.50159165990555,1.1263673621605292,3.822975019564175,1.8616922594473497,1.6372725749973729
1621.0,wmv,2b,0.0,9.359076202980603,1.1054902637523718,3.406608256257876,1.9113470970473248,1.617814178766623
